,angle,j,fl,fd
0,-90,23.10796354734227,0.36556495272214967,15.018326766259811
1,-80,18.881836677244088,-0.7264518532591483,9.29540094650527
2,-70,21.751096184132784,2.165969872605699,13.194737332083799
3,-60,22.003381475875972,-1.6419875227412541,13.468427584672934
4,-50,18.895210839997436,-0.7427761053030156,9.26434506664557
5,-40,19.610823852101692,1.8678468937593613,10.200232406745986
6,-30,21.788653980109665,2.207946842965322,13.16140134556392
7,-20,22.908871659998052,1.1636489914455186,14.724572756863342
8,-10,23.10783475853908,0.36354630994983317,15.018226253267763
9,0,23.10783475853908,0.36354630994983317,15.018226253267763
10,10,22.908871659997995,1.1636489914452666,14.724572756862994
11,20,21.788653980109743,2.207946842964348,13.16140134556169
12,30,19.610823852101696,1.8678468937594122,10.200232406746336
13,40,18.895210839997404,-0.7427761053068047,9.264345066647794
14,50,22.003381475875887,-1.641987522742952,13.468427584673773
15,60,21.751096279279796,2.1659842080260434,13.194679676206741
16,70,18.88183667724411,-0.7264518532688341,9.295400946503815
17,80,23.10153929558096,0.3316607613812298,14.94781211821113
